MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,MEMBERSHIP_STATUS,START_DATE,END_DATE
12,100000.0,M,F,549996.0,4.0,TYPE-B,37,3,ANNUAL,INFORCE,2007-10-15,2025-04-20
17,100000.0,M,M,2100000.0,5.0,TYPE-B,57,3,ANNUAL,INFORCE,2007-10-31,2025-04-20
35,180001.44,M,M,380004.0,1.0,TYPE-B,39,2,MONTHLY,INFORCE,2007-10-31,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,40,0,ANNUAL,INFORCE,2007-10-19,2025-04-20
17,100000.0,M,M,999996.0,1.0,TYPE-B,34,1,ANNUAL,INFORCE,2007-10-31,2025-04-20
71,100000.02,M,M,549996.0,1.0,TYPE-B,40,0,ANNUAL,INFORCE,2007-11-22,2025-04-20
27,100000.0,M,M,750120.0,1.0,TYPE-B,37,2,ANNUAL,INFORCE,2007-10-30,2025-04-20
12,200000.0,M,F,549996.0,4.0,TYPE-B,53,1,ANNUAL,CANCELLED,2007-11-16,2009-01-15
17,100000.0,M,M,750000.0,1.0,TYPE-B,44,1,ANNUAL,INFORCE,2007-10-31,2025-04-20
12,100000.0,M,M,399996.0,1.0,TYPE-B,34,3,QUARTERLY,INFORCE,2007-11-05,2025-04-20
12,120000.96,S,M,453996.0,1.0,TYPE-B,25,0,MONTHLY,INFORCE,2007-10-31,2025-04-20
17,100000.0,M,M,108036.0,1.0,TYPE-B,34,2,ANNUAL,CANCELLED,2007-11-14,2011-01-13
17,200000.0,M,M,600000.0,1.0,TYPE-B,43,1,ANNUAL,CANCELLED,2007-11-26,2009-01-25
17,125000.0,M,M,999996.0,1.0,TYPE-B,48,3,ANNUAL,INFORCE,2007-11-14,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,30,0,ANNUAL,INFORCE,2007-11-14,2025-04-20
44,103375.0,S,M,2499996.0,1.0,TYPE-B,28,0,ANNUAL,INFORCE,2007-11-27,2025-04-20
12,150000.0,S,M,300000.0,5.0,TYPE-B,23,0,ANNUAL,INFORCE,2007-11-29,2025-04-20
12,100000.0,M,M,188604.0,1.0,TYPE-B,45,2,ANNUAL,INFORCE,2007-11-20,2025-04-20
17,103998.96,M,M,3600000.0,5.0,TYPE-B,57,2,ANNUAL,CANCELLED,2008-02-22,2011-04-23
17,599999.88,M,F,549996.0,4.0,TYPE-B,53,2,MONTHLY,INFORCE,2007-11-27,2025-04-20
17,251000.0,M,M,360000.0,1.0,TYPE-B,34,2,ANNUAL,CANCELLED,2007-11-29,2010-01-27
12,100238.28,M,M,549996.0,1.0,TYPE-B,43,2,MONTHLY,INFORCE,2007-12-26,2025-04-20
57,100000.02,M,M,549996.0,1.0,TYPE-B,50,0,ANNUAL,CANCELLED,2007-11-30,2009-01-27
17,200000.0,M,F,459996.0,1.0,TYPE-B,56,2,ANNUAL,CANCELLED,2007-12-17,2011-02-15
12,201000.0,M,M,549996.0,6.0,TYPE-B,51,1,ANNUAL,CANCELLED,2007-11-30,2010-01-27
27,100000.0,M,M,399996.0,1.0,TYPE-B,38,3,SEMI-ANNUAL,INFORCE,2007-11-30,2025-04-20
12,150000.0,M,M,450000.0,1.0,TYPE-B,30,3,ANNUAL,INFORCE,2007-11-28,2025-04-20
17,100001.76,M,M,549996.0,1.0,TYPE-B,29,0,MONTHLY,CANCELLED,2007-11-30,2011-09-26
27,100000.0,S,M,240000.0,1.0,TYPE-B,25,0,SEMI-ANNUAL,CANCELLED,2007-11-30,2010-07-27
12,125000.0,M,M,500004.0,5.0,TYPE-B,37,3,ANNUAL,CANCELLED,2007-11-30,2009-01-27
12,240001.92,M,M,549996.0,1.0,TYPE-B,59,0,MONTHLY,INFORCE,2007-11-30,2025-04-20
17,100000.0,M,M,549996.0,4.0,TYPE-B,78,0,ANNUAL,CANCELLED,2007-11-30,2011-01-27
17,100000.0,M,F,549996.0,4.0,TYPE-B,35,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
17,100000.0,M,M,600000.0,1.0,TYPE-B,50,3,ANNUAL,INFORCE,2007-12-31,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,56,0,ANNUAL,INFORCE,2007-12-11,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,49,0,SEMI-ANNUAL,INFORCE,2007-12-11,2025-04-20
17,100000.0,M,M,324996.0,1.0,TYPE-B,57,2,ANNUAL,CANCELLED,2007-12-31,2009-02-26
27,100000.0,M,M,1250004.0,5.0,TYPE-B,36,1,ANNUAL,CANCELLED,2007-12-20,2009-02-18
12,150000.0,M,M,549996.0,4.0,TYPE-B,27,3,ANNUAL,CANCELLED,2007-12-31,2009-02-26
17,100000.0,M,M,549996.0,1.0,TYPE-B,42,0,ANNUAL,CANCELLED,2007-12-17,2011-02-15
12,119999.88,S,M,450000.0,1.0,TYPE-B,24,0,MONTHLY,CANCELLED,2007-12-24,2008-04-22
12,105000.0,S,M,600000.0,1.0,TYPE-B,26,0,SEMI-ANNUAL,INFORCE,2007-12-19,2025-04-20
17,100000.0,M,F,150000.0,1.0,TYPE-B,55,2,SEMI-ANNUAL,INFORCE,2007-12-31,2025-04-20
12,1050000.0,M,M,1950000.0,1.0,TYPE-B,45,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
17,450000.0,M,M,1950000.0,1.0,TYPE-B,45,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
12,150000.0,W,F,324996.0,1.0,TYPE-B,43,0,ANNUAL,CANCELLED,2007-12-31,2009-02-26
17,100000.0,M,M,549996.0,1.0,TYPE-B,51,0,SEMI-ANNUAL,CANCELLED,2007-12-26,2008-08-25
12,100000.0,M,F,125004.0,1.0,TYPE-B,47,3,ANNUAL,INFORCE,2007-12-31,2025-04-20
17,200000.0,M,M,549996.0,1.0,TYPE-B,47,3,ANNUAL,INFORCE,2008-01-17,2025-04-20
27,100000.0,M,M,1224732.0,1.0,TYPE-B,33,1,SEMI-ANNUAL,INFORCE,2007-12-31,2025-04-20
17,101000.0,S,M,999996.0,5.0,TYPE-B,22,0,ANNUAL,INFORCE,2007-12-27,2025-04-20
12,100000.0,M,M,399996.0,1.0,TYPE-B,25,3,ANNUAL,INFORCE,2007-12-27,2025-04-20
17,100000.0,M,M,399996.0,1.0,TYPE-B,36,2,ANNUAL,INFORCE,2007-12-27,2025-04-20
12,240001.92,M,M,549996.0,1.0,TYPE-B,59,0,MONTHLY,CANCELLED,2007-12-27,2008-06-26
17,100000.8,S,F,549996.0,4.0,TYPE-B,20,0,MONTHLY,INFORCE,2007-12-31,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,45,0,SEMI-ANNUAL,INFORCE,2007-12-31,2025-04-20
50,199998.0,M,M,600000.0,1.0,TYPE-B,34,2,SEMI-ANNUAL,INFORCE,2007-12-31,2025-04-20
41,100000.0,M,M,699996.0,1.0,TYPE-B,43,2,ANNUAL,INFORCE,2007-12-31,2025-04-20
12,100000.0,M,M,549996.0,1.0,TYPE-B,63,2,ANNUAL,INFORCE,2008-01-07,2025-04-20
17,100000.0,S,M,900000.0,1.0,TYPE-B,25,0,ANNUAL,INFORCE,2007-12-31,2025-04-20
12,150000.0,S,F,200004.0,1.0,TYPE-B,27,0,SEMI-ANNUAL,INFORCE,2007-12-31,2025-04-20
17,100000.0,M,M,6340476.0,5.0,TYPE-B,57,2,ANNUAL,CANCELLED,2008-01-24,2011-03-25
32,200000.0,W,F,2000004.0,1.0,TYPE-B,52,0,ANNUAL,INFORCE,2007-12-31,2025-04-20
53,101000.0,M,M,480000.0,1.0,TYPE-B,29,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
17,125000.0,M,M,549996.0,1.0,TYPE-B,49,0,ANNUAL,INFORCE,2007-12-31,2025-04-20
43,149999.0,M,M,1200000.0,1.0,TYPE-B,41,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
44,100000.0,M,M,360000.0,1.0,TYPE-B,40,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
12,216000.0,M,M,249996.0,1.0,TYPE-B,44,2,ANNUAL,INFORCE,2008-01-04,2025-04-20
35,200000.0,M,M,8400000.0,1.0,TYPE-B,49,1,ANNUAL,INFORCE,2007-12-31,2025-04-20
12,100000.0,S,M,499992.0,1.0,TYPE-B,28,0,QUARTERLY,CANCELLED,2007-12-31,2008-05-27
41,100000.0,M,M,429996.0,1.0,TYPE-B,43,2,ANNUAL,CANCELLED,2007-12-31,2010-02-26
12,100000.0,M,M,600000.0,1.0,TYPE-B,45,1,QUARTERLY,INFORCE,2007-12-31,2025-04-20
27,150000.0,M,M,399996.0,1.0,TYPE-B,28,3,ANNUAL,INFORCE,2008-01-04,2025-04-20
17,100000.0,S,M,200004.0,1.0,TYPE-B,38,0,ANNUAL,CANCELLED,2008-01-10,2009-03-11
61,100000.0,S,M,350004.0,1.0,TYPE-B,21,0,ANNUAL,CANCELLED,2007-12-31,2010-02-26
33,120000.96,M,M,500004.0,1.0,TYPE-B,51,1,MONTHLY,INFORCE,2007-12-31,2025-04-20
41,300000.0,M,M,1023996.0,1.0,TYPE-B,43,2,QUARTERLY,CANCELLED,2007-12-31,2008-11-27
28,460000.0,M,M,999996.0,1.0,TYPE-B,56,1,SEMI-ANNUAL,CANCELLED,2008-01-31,2009-02-26
51,250000.0,M,M,500004.0,1.0,TYPE-B,33,1,ANNUAL,CANCELLED,2007-12-31,2009-02-26
12,120000.96,M,F,279996.0,1.0,TYPE-B,29,1,MONTHLY,INFORCE,2008-01-04,2025-04-20
17,100000.0,M,F,549996.0,4.0,TYPE-B,38,1,ANNUAL,CANCELLED,2008-03-14,2011-05-13
22,100000.0,S,M,200004.0,1.0,TYPE-B,26,0,ANNUAL,INFORCE,2008-01-09,2025-04-20
41,102000.72,M,M,2000004.0,1.0,TYPE-B,34,3,MONTHLY,INFORCE,2008-01-30,2025-04-20
17,100000.0,M,M,9999996.0,1.0,TYPE-B,49,1,ANNUAL,CANCELLED,2008-02-25,2009-04-24
17,132002.04,M,M,324996.0,1.0,TYPE-B,54,2,MONTHLY,INFORCE,2008-02-18,2025-04-20
17,100000.0,M,M,999996.0,1.0,TYPE-B,39,3,ANNUAL,INFORCE,2008-01-14,2025-04-20
22,100005.0,M,F,300000.0,1.0,TYPE-B,34,2,ANNUAL,INFORCE,2008-01-10,2025-04-20
17,100000.0,M,F,360000.0,1.0,TYPE-B,27,2,ANNUAL,CANCELLED,2008-01-14,2009-03-15
54,100000.0,M,M,450000.0,1.0,TYPE-B,29,2,ANNUAL,INFORCE,2008-01-16,2025-04-20
17,100000.0,M,M,230004.0,1.0,TYPE-B,47,1,ANNUAL,INFORCE,2008-03-13,2025-04-20
40,100000.0,M,M,399996.0,1.0,TYPE-B,45,3,ANNUAL,INFORCE,2008-01-15,2025-04-20
22,100005.0,M,M,500004.0,1.0,TYPE-B,36,1,ANNUAL,INFORCE,2008-01-23,2025-04-20
12,100000.8,S,M,150000.0,1.0,TYPE-B,33,0,MONTHLY,CANCELLED,2008-01-24,2008-05-23
12,108000.84,S,M,600000.0,1.0,TYPE-B,27,0,MONTHLY,INFORCE,2008-01-18,2025-04-20
53,150000.0,M,M,549996.0,1.0,TYPE-B,66,3,ANNUAL,INFORCE,2008-01-18,2025-04-20
58,175000.0,S,M,300000.0,1.0,TYPE-B,25,0,ANNUAL,CANCELLED,2008-01-29,2009-03-22
12,101250.72,M,M,549996.0,1.0,TYPE-B,43,2,MONTHLY,INFORCE,2008-02-01,2025-04-20
27,110250.0,M,M,549996.0,1.0,TYPE-B,66,3,ANNUAL,CANCELLED,2008-01-22,2010-03-23
17,100000.0,M,M,249996.0,1.0,TYPE-B,36,2,SEMI-ANNUAL,CANCELLED,2008-03-07,2008-11-06
12,100000.0,M,M,249996.0,1.0,TYPE-B,28,1,QUARTERLY,CANCELLED,2008-02-05,2008-07-04
36,200000.0,S,M,249996.0,1.0,TYPE-B,49,0,ANNUAL,CANCELLED,2008-01-22,2010-03-23
34,100000.0,M,F,300000.0,1.0,TYPE-B,51,2,ANNUAL,INFORCE,2008-01-22,2025-04-20
46,100000.0,M,M,290004.0,1.0,TYPE-B,39,3,ANNUAL,CANCELLED,2008-01-23,2011-03-24
41,100000.0,M,M,600000.0,1.0,TYPE-B,44,1,ANNUAL,CANCELLED,2008-01-24,2011-03-25
17,100000.0,M,F,549996.0,4.0,TYPE-B,50,2,SEMI-ANNUAL,INFORCE,2008-03-04,2025-04-20
29,120000.0,M,F,300000.0,1.0,TYPE-B,56,1,QUARTERLY,INFORCE,2008-01-30,2025-04-20
17,100000.0,M,M,249996.0,1.0,TYPE-B,56,1,SEMI-ANNUAL,INFORCE,2008-02-19,2025-04-20
59,100000.0,M,M,549996.0,1.0,TYPE-B,53,0,ANNUAL,INFORCE,2008-01-24,2025-04-20
40,100000.0,M,F,800004.0,1.0,TYPE-B,45,3,ANNUAL,INFORCE,2008-01-24,2025-04-20
17,100000.0,M,M,3750000.0,1.0,TYPE-B,38,1,ANNUAL,INFORCE,2008-01-31,2025-04-20
40,300001.0,M,F,1080000.0,1.0,TYPE-B,45,3,ANNUAL,CANCELLED,2008-01-24,2010-03-25
42,200000.0,S,F,600000.0,1.0,TYPE-B,43,0,ANNUAL,CANCELLED,2008-01-24,2010-03-25
55,100000.0,M,M,450000.0,1.0,TYPE-B,28,1,ANNUAL,CANCELLED,2008-01-24,2009-03-25
42,200000.0,M,M,1800000.0,1.0,TYPE-B,43,2,ANNUAL,INFORCE,2008-01-25,2025-04-20
42,200000.0,M,M,1800000.0,1.0,TYPE-B,43,2,ANNUAL,INFORCE,2008-01-25,2025-04-20
12,100000.0,M,F,549996.0,4.0,TYPE-B,38,2,ANNUAL,INFORCE,2008-01-25,2025-04-20
49,126351.88,M,M,120000.0,1.0,TYPE-B,36,1,QUARTERLY,INFORCE,2008-01-25,2025-04-20
45,125000.0,M,F,375000.0,1.0,TYPE-B,40,1,ANNUAL,CANCELLED,2008-01-28,2009-03-29
43,200000.0,M,M,800004.0,1.0,TYPE-B,41,3,ANNUAL,CANCELLED,2008-01-28,2009-03-29
12,100000.0,M,M,549996.0,6.0,TYPE-B,61,3,ANNUAL,INFORCE,2008-02-21,2025-04-20
17,100000.0,S,M,420000.0,1.0,TYPE-B,26,0,QUARTERLY,INFORCE,2008-01-28,2025-04-20
32,103950.0,M,M,240000.0,1.0,TYPE-B,53,2,ANNUAL,CANCELLED,2008-01-30,2009-03-29
45,102102.53,M,M,300000.0,1.0,TYPE-B,40,3,ANNUAL,INFORCE,2008-01-29,2025-04-20
17,100000.0,M,F,549996.0,4.0,TYPE-B,24,3,ANNUAL,INFORCE,2008-02-11,2025-04-20
48,100000.0,M,M,300000.0,5.0,TYPE-B,37,3,ANNUAL,CANCELLED,2008-01-29,2009-03-29
12,100000.0,M,F,399996.0,1.0,TYPE-B,38,1,ANNUAL,CANCELLED,2008-02-05,2009-04-06
12,120000.12,M,F,549996.0,4.0,TYPE-B,41,2,MONTHLY,INFORCE,2008-01-31,2025-04-20
22,100000.0,M,F,549996.0,4.0,TYPE-B,35,2,SEMI-ANNUAL,CANCELLED,2008-03-10,2008-09-26
23,700035.0,M,M,23799996.0,1.0,TYPE-B,52,3,ANNUAL,INFORCE,2008-01-31,2025-04-20
12,120000.96,M,M,450000.0,1.0,TYPE-B,46,3,MONTHLY,INFORCE,2008-01-31,2025-04-20
12,100000.0,M,M,300000.0,1.0,TYPE-B,48,1,QUARTERLY,CANCELLED,2008-01-29,2008-06-27
40,100000.0,M,M,549996.0,5.0,TYPE-B,69,3,ANNUAL,CANCELLED,2008-01-30,2009-03-29
12,120000.96,S,M,300000.0,1.0,TYPE-B,28,0,MONTHLY,CANCELLED,2008-01-29,2008-05-27
43,1000000.0,M,M,6000000.0,1.0,TYPE-B,42,2,ANNUAL,INFORCE,2008-01-29,2025-04-20
44,1000000.0,M,F,300000.0,1.0,TYPE-B,41,3,ANNUAL,INFORCE,2008-01-29,2025-04-20
12,511000.0,S,M,1700004.0,1.0,TYPE-B,30,0,ANNUAL,INFORCE,2008-01-31,2025-04-20
41,100000.0,M,M,420000.0,1.0,TYPE-B,44,1,ANNUAL,INFORCE,2008-01-31,2025-04-20
64,100000.0,M,M,549996.0,1.0,TYPE-B,48,0,ANNUAL,INFORCE,2008-01-30,2025-04-20
41,100000.0,M,F,900000.0,1.0,TYPE-B,44,2,ANNUAL,CANCELLED,2008-01-30,2009-03-29
17,100000.8,S,M,500004.0,1.0,TYPE-B,28,0,MONTHLY,INFORCE,2008-01-31,2025-04-20
42,100000.0,M,M,399996.0,1.0,TYPE-B,43,2,SEMI-ANNUAL,CANCELLED,2008-01-31,2011-09-26
12,150000.0,M,M,600000.0,1.0,TYPE-B,30,3,SEMI-ANNUAL,INFORCE,2008-02-01,2025-04-20
17,100000.0,M,M,549996.0,1.0,TYPE-B,44,0,ANNUAL,INFORCE,2008-02-15,2025-04-20
12,100000.0,M,M,2499996.0,1.0,TYPE-B,40,3,ANNUAL,INFORCE,2008-02-04,2025-04-20
51,199500.0,M,M,218004.0,1.0,TYPE-B,34,1,ANNUAL,INFORCE,2008-02-01,2025-04-20
52,100000.0,M,M,2799996.0,1.0,TYPE-B,33,3,SEMI-ANNUAL,INFORCE,2008-02-01,2025-04-20
49,100000.0,M,M,360000.0,1.0,TYPE-B,36,2,SEMI-ANNUAL,INFORCE,2008-02-01,2025-04-20
62,125000.0,S,M,420000.0,1.0,TYPE-B,21,0,ANNUAL,INFORCE,2008-02-04,2025-04-20
41,100000.0,M,F,450000.0,1.0,TYPE-B,44,3,ANNUAL,CANCELLED,2008-02-05,2011-04-06
12,100000.0,M,M,180000.0,5.0,TYPE-B,43,2,ANNUAL,CANCELLED,2008-02-06,2009-04-07
45,200000.0,M,M,600000.0,1.0,TYPE-B,40,2,SEMI-ANNUAL,INFORCE,2008-02-07,2025-04-20
12,100000.0,M,M,300000.0,1.0,TYPE-B,28,1,SEMI-ANNUAL,CANCELLED,2008-02-11,2008-10-10
17,100000.0,M,M,500004.0,1.0,TYPE-B,51,2,QUARTERLY,INFORCE,2008-02-21,2025-04-20
12,100000.8,S,M,500004.0,1.0,TYPE-B,27,0,MONTHLY,INFORCE,2008-02-11,2025-04-20
12,108000.84,M,M,600000.0,1.0,TYPE-B,29,3,MONTHLY,INFORCE,2008-02-08,2025-04-20
17,130000.0,M,M,500004.0,1.0,TYPE-B,49,1,ANNUAL,INFORCE,2008-02-21,2025-04-20
31,120000.96,M,M,399996.0,1.0,TYPE-B,54,2,MONTHLY,INFORCE,2008-02-08,2025-04-20
17,100000.0,M,M,350004.0,1.0,TYPE-B,39,3,ANNUAL,CANCELLED,2008-02-25,2011-04-24
17,100000.0,M,F,249996.0,1.0,TYPE-B,42,1,ANNUAL,INFORCE,2008-02-20,2025-04-20
12,108000.84,M,M,549996.0,1.0,TYPE-B,29,2,MONTHLY,INFORCE,2008-02-11,2025-04-20
45,250000.0,M,M,500004.0,1.0,TYPE-B,40,2,ANNUAL,INFORCE,2008-02-13,2025-04-20
31,100000.0,M,M,275004.0,1.0,TYPE-B,44,3,ANNUAL,INFORCE,2008-02-19,2025-04-20
56,240001.92,S,M,800004.0,1.0,TYPE-B,27,0,MONTHLY,CANCELLED,2008-02-12,2010-01-11
32,100000.0,M,M,600000.0,1.0,TYPE-B,53,2,ANNUAL,INFORCE,2008-02-13,2025-04-20
12,100000.0,S,M,399996.0,1.0,TYPE-B,24,0,ANNUAL,INFORCE,2008-02-12,2025-04-20
12,200000.0,S,M,999996.0,1.0,TYPE-B,33,0,QUARTERLY,CANCELLED,2008-02-14,2009-01-13
12,100000.0,S,M,249996.0,1.0,TYPE-B,26,0,SEMI-ANNUAL,INFORCE,2008-02-14,2025-04-20
17,100000.0,M,F,549996.0,4.0,TYPE-B,25,1,QUARTERLY,INFORCE,2008-02-29,2025-04-20
17,143999.88,M,M,350004.0,1.0,TYPE-B,57,2,MONTHLY,CANCELLED,2008-02-26,2008-10-25
39,240000.0,M,M,600000.0,1.0,TYPE-B,46,3,MONTHLY,INFORCE,2008-02-15,2025-04-20
52,102000.84,M,M,500004.0,1.0,TYPE-B,30,3,MONTHLY,CANCELLED,2008-02-15,2008-06-14
29,200000.0,M,F,849996.0,1.0,TYPE-B,56,1,ANNUAL,INFORCE,2008-02-15,2025-04-20
